,SCRAM,EEDUC,RRACE,TBIRTH_YEAR,RHISPANIC,RRACE,EEDUC,MS,EGENID_BIRTH,GENID_DESCRIBE,SEXUAL_ORIENTATION,ANYWORK,WEEK,INCOME,TENURE,KIDS_LT5Y,KIDS_5_11Y,KIDS_12_17Y,EST_ST
0,V470000001,5,1,1981,1,1,5,1,2,2,3,1,47,7,2,-99,1,-99,6
1,V470000002,6,1,1984,1,1,6,1,2,2,2,1,47,8,2,1,1,-99,53
2,V470000003,6,1,1989,1,1,6,5,1,1,2,1,47,3,3,-88,-88,-88,31
3,V470000004,7,1,1952,1,1,7,3,1,1,2,1,47,3,3,-88,-88,-88,4
4,V470000005,6,1,1981,1,1,6,1,2,2,2,1,47,7,2,-99,1,-99,28
5,V470000006,1,1,1967,1,1,1,1,2,2,2,2,47,6,3,-88,-88,-88,33
6,V470000007,4,1,1938,1,1,4,1,2,2,2,2,47,8,1,-88,-88,-88,45
7,V470000008,4,1,1958,1,1,4,3,1,1,2,1,47,4,2,-88,-88,-88,4
8,V470000009,7,1,1959,1,1,7,1,2,2,2,1,47,-99,2,-88,-88,-88,37
9,V470000010,3,1,1989,2,1,3,3,2,2,3,1,47,-88,3,-99,1,-99,5
10,V470000011,6,1,1961,1,1,6,3,1,1,2,1,47,6,2,-88,-88,-88,6
11,V470000012,3,1,1934,1,1,3,2,1,1,2,2,47,1,2,-88,-88,-88,42
12,V470000013,6,4,1988,1,4,6,5,2,2,3,1,47,1,3,-88,-88,-88,53
13,V470000014,6,1,1944,1,1,6,3,2,2,2,2,47,-88,1,-88,-88,-88,12
14,V470000015,7,1,1948,1,1,7,1,2,2,2,2,47,6,1,-88,-88,-88,25
15,V470000016,3,1,1960,1,1,3,1,2,2,2,1,47,-99,2,-88,-88,-88,53
16,V470000017,4,1,1978,1,1,4,1,1,1,2,2,47,3,3,1,-99,-99,24
17,V470000018,3,2,1941,1,2,3,2,1,1,2,2,47,2,3,-88,-88,-88,32
18,V470000019,7,1,1964,1,1,7,1,1,1,2,2,47,-88,-88,-99,1,1,10
19,V470000020,3,1,1980,1,1,3,3,2,2,2,1,47,2,3,-99,1,1,39
20,V470000021,4,1,1983,1,1,4,5,1,1,1,1,47,6,3,-88,-88,-88,53
21,V470000022,7,2,1986,1,2,7,5,2,2,2,1,47,4,3,-99,-99,1,20
22,V470000023,3,2,1976,1,2,3,5,2,2,2,1,47,3,3,-88,-88,-88,39
23,V470000024,7,4,1989,1,4,7,5,2,2,3,1,47,4,3,-88,-88,-88,50
24,V470000025,4,1,1968,1,1,4,1,2,2,2,2,47,5,1,-88,-88,-88,12
25,V470000026,6,1,1967,1,1,6,1,1,1,2,1,47,8,2,-88,-88,-88,4
26,V470000027,5,1,1963,1,1,5,1,1,1,2,1,47,6,2,-88,-88,-88,33
27,V470000028,7,1,1976,1,1,7,1,2,2,3,1,47,8,2,-88,-88,-88,24
28,V470000029,4,1,1985,1,1,4,5,2,2,2,2,47,1,1,-88,-88,-88,37
29,V470000030,4,1,1967,1,1,4,5,1,1,2,2,47,8,3,-88,-88,-88,32
30,V470000031,6,2,1999,2,2,6,5,2,2,3,1,47,1,3,-88,-88,-88,11
